Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Volum;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;16,0m - 24,0m;>= 24,0m
02636V1125920;SANDNESSUND BRUA;FV862 S2D1 m609;2018-01-01T00:00+01:00;2018-02-01T00:00+01:00;2018;1;8243;7749;8737;100,0;31;31;0;1;100,0;1;7798;444;139;212;74;19;0
02636V1125920;SANDNESSUND BRUA;FV862 S2D1 m609;2018-01-01T00:00+01:00;2018-02-01T00:00+01:00;2018;1;8235;7760;8710;100,0;31;31;0;1;100,0;2;7826;407;118;204;69;17;0
02636V1125920;SANDNESSUND BRUA;FV862 S2D1 m609;2018-01-01T00:00+01:00;2018-02-01T00:00+01:00;2018;1;8235;7760;8710;100,0;31;31;0;1;100,0;Totalt i retning Tromsø;7826;407;118;204;69;17;0
02636V1125920;SANDNESSUND BRUA;FV862 S2D1 m609;2018-01-01T00:00+01:00;2018-02-01T00:00+01:00;2018;1;8243;7749;8737;100,0;31;31;0;1;100,0;Totalt i retning Kvaløya;7798;444;139;212;74;19;0
02636V1125920;SANDNESSUND BRUA;FV862 S2D1 m609;2018-01-01T00:00+01:00;2018-02-01T00:00+01:00;2018;1;16478;15510;17446;100,0;31;31;0;3;100,0;Totalt;15624;851;256;416;143;35;0
02636V1125920;SANDNESSUND BRUA;FV862 S2D1 m609;2018-02-01T00:00+01:00;2018-03-01T00:00+01:00;2018;2;8695;8218;9172;99,8;28;28;0;1;100,0;1;8230;464;147;216;76;25;0
02636V1125920;SANDNESSUND BRUA;FV862 S2D1 m609;2018-02-01T00:00+01:00;2018-03-01T00:00+01:00;2018;2;8691;8241;9141;99,8;28;28;0;0;100,0;2;8256;435;130;207;74;23;0
02636V1125920;SANDNESSUND BRUA;FV862 S2D1 m609;2018-02-01T00:00+01:00;2018-03-01T00:00+01:00;2018;2;8691;8241;9141;99,8;28;28;0;0;100,0;Totalt i retning Tromsø;8256;435;130;207;74;23;0
02636V1125920;SANDNESSUND BRUA;FV862 S2D1 m609;2018-02-01T00:00+01:00;2018-03-01T00:00+01:00;2018;2;8695;8219;9171;99,8;28;28;0;1;100,0;Totalt i retning Kvaløya;8230;464;147;216;76;25;0
02636V1125920;SANDNESSUND BRUA;FV862 S2D1 m609;2018-02-01T00:00+01:00;2018-03-01T00:00+01:00;2018;2;17386;16460;18312;99,8;28;28;0;1;100,0;Totalt;16486;899;276;424;151;48;0
02636V1125920;SANDNESSUND BRUA;FV862 S2D1 m609;2018-03-01T00:00+01:00;2018-04-01T00:00+02:00;2018;3;8028;7316;8740;100,0;31;31;0;4;100,0;1;7602;422;131;201;69;21;0
02636V1125920;SANDNESSUND BRUA;FV862 S2D1 m609;2018-03-01T00:00+01:00;2018-04-01T00:00+02:00;2018;3;8008;7303;8713;100,0;31;31;0;0;100,0;2;7619;389;110;194;65;20;0
02636V1125920;SANDNESSUND BRUA;FV862 S2D1 m609;2018-03-01T00:00+01:00;2018-04-01T00:00+02:00;2018;3;8008;7304;8712;100,0;31;31;0;1;100,0;Totalt i retning Tromsø;7619;389;110;194;65;20;0
02636V1125920;SANDNESSUND BRUA;FV862 S2D1 m609;2018-03-01T00:00+01:00;2018-04-01T00:00+02:00;2018;3;8028;7316;8740;100,0;31;31;0;3;100,0;Totalt i retning Kvaløya;7602;422;131;201;69;21;0
02636V1125920;SANDNESSUND BRUA;FV862 S2D1 m609;2018-03-01T00:00+01:00;2018-04-01T00:00+02:00;2018;3;16036;14621;17451;100,0;31;31;0;4;100,0;Totalt;15221;811;241;395;134;40;0
